ipeds_id,academic_year,data_source,tuition_in_state,required_fees_in_state,tuition_out_state,required_fees_out_state,room_board_on_campus
100654,2024-2025,institution_website,10566,1414,19176,1414,11402
100663,2023-2024,institution_website,11640,0,28980,0,14580
100706,2025-2026,institution_website,12132,1758,26408,1758,11122
100751,2024-2025,institution_website,12180,800,34172,800,14564
100830,2025-2026,institution_website,6659,868,18011,868,12762
100858,2025-2026,institution_website,6659,1832,18011,1832,14736
101480,2024-2025,institution_website,12426,2136,20580,2136,10728
101587,2025-2026,institution_website,9216,1890,15570,1890,7200
101879,2024-2025,institution_website,12240,1790,20400,1790,7900
102049,2025-2026,institution_website,40760,1000,40760,1000,20139
102094,2025-2026,institution_website,13460,700,27410,700,11062
102368,2024-2025,institution_website,10176,0,19584,0,10860
102553,2024-2025,MANUAL,6500,1374,22000,1917,15648
102580,2024-2025,MANUAL,9000,730,9000,730,12320
102614,2024-2025,MANUAL,11445,1975,19945,2615,12750
102632,2025-2026,MANUAL,6372,1596,20844,2240,15200
102669,2024-2025,MANUAL,58348,410,58348,410,18200
102845,2024-2025,MANUAL,46935,0,46935,0,18168
104151,2024-2025,institution_website,10890,743,10890,743,13932
104179,2023-2024,institution_website,13600,1731,28900,1731,12000
104586,2024-2025,institution_website,33000,1524,33000,1524,14102
104717,2024-2025,institution_website,16500,873,16500,873,11162
105330,2024-2025,institution_website,13440,1223,30912,1223,17248
105589,2024-2025,institution_website,35685,1665,35685,1665,6850
105899,2025-2026,institution_website,32898,2200,32898,2200,14300
106245,2025-2026,institution_website,10185,3017,22870,3017,12722
106397,2024-2025,institution_website,10496,2082,31550,2082,13290
106412,2024-2025,institution_website,9019,2959,17029,2959,5280
106458,2024-2025,institution_website,10430,578,18740,578,10935
106467,2025-2026,institution_website,6174,2513,12349,2513,15743
106704,2024-2025,institution_website,10523,2978,18023,2978,9349
107044,2024-2025,institution_website,26490,648,26490,648,8924
107071,2025-2026,institution_website,8250,1644,11310,1644,8562
107141,2024-2025,institution_website,32710,1344,32710,1344,2500
107585,2024-2025,institution_website,3150,1056,3150,1056,7792
107983,2023-2024,institution_website,10200,2620,16080,2620,7601
108092,2024-2025,institution_website,9826,2394,15226,2394,12190
