ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
100654,2023-24,IC2023_AY,8610.0,17220.0,1414.0,10024.0,18634.0,11402.0,11402.0,2192.0,3864.0,,True,True,90,,clean
100663,2023-24,IC2023_AY,8832.0,21864.0,0.0,8832.0,21864.0,13590.0,14580.0,1200.0,5757.0,,True,False,90,,clean
100706,2023-24,IC2023_AY,10120.0,23012.0,1758.0,11878.0,24770.0,11122.0,11122.0,2416.0,4462.0,,True,True,90,,clean
100724,2023-24,IC2023_AY,8328.0,16656.0,2920.0,11248.0,19576.0,7690.0,7320.0,1600.0,3392.0,,True,True,90,,clean
100751,2023-24,IC2023_AY,11100.0,32400.0,800.0,11900.0,33200.0,14840.0,14564.0,800.0,5842.0,,True,True,90,,clean
100760,2023-24,IC2023_AY,3810.0,7620.0,1230.0,5040.0,8850.0,,15628.0,1020.0,,,True,True,70,,clean
100830,2023-24,IC2023_AY,8568.0,19224.0,868.0,9436.0,20092.0,7368.0,12762.0,1500.0,4478.0,,True,True,90,,clean
100858,2023-24,IC2023_AY,10704.0,32112.0,1832.0,12536.0,33944.0,15396.0,14736.0,1200.0,6166.0,,True,True,90,,clean
100937,2023-24,IC2023_AY,21500.0,21500.0,1250.0,22750.0,22750.0,14300.0,6500.0,1062.0,2268.0,,True,True,90,,clean
101028,2023-24,IC2023_AY,3810.0,7620.0,1230.0,5040.0,8850.0,,11200.0,1008.0,,,True,True,70,,clean
101116,2023-24,IC2023_AY,15732.0,15732.0,720.0,16452.0,16452.0,,8925.0,1500.0,,,True,True,70,,clean
101143,2023-24,IC2023_AY,3810.0,7620.0,1230.0,5040.0,8850.0,,14400.0,1500.0,,,True,True,70,,clean
101161,2023-24,IC2023_AY,3810.0,7620.0,1170.0,4980.0,8790.0,10850.0,8025.0,2750.0,7350.0,,True,True,90,,clean
101189,2023-24,IC2023_AY,21930.0,21930.0,1990.0,23920.0,23920.0,8020.0,8020.0,1800.0,4600.0,,True,True,90,,clean
101240,2023-24,IC2023_AY,3048.0,6096.0,984.0,4032.0,7080.0,5200.0,4500.0,1600.0,2324.0,,True,True,90,,clean
101286,2023-24,IC2023_AY,3810.0,7620.0,1110.0,4920.0,8730.0,,9450.0,1200.0,,,True,True,70,,clean
101295,2023-24,IC2023_AY,3810.0,7620.0,1170.0,4980.0,8790.0,4900.0,13540.0,2000.0,8720.0,,True,True,90,,clean
101301,2023-24,IC2023_AY,3810.0,7620.0,870.0,4680.0,8490.0,,11000.0,7400.0,,,True,True,70,,clean
101365,2023-24,IC2023_AY,12360.0,12360.0,1060.0,13420.0,13420.0,,8928.0,0.0,,,True,True,70,,clean
101435,2023-24,IC2023_AY,27150.0,27150.0,1500.0,28650.0,28650.0,10922.0,8922.0,300.0,2068.0,,True,True,90,,clean
101453,2023-24,IC2023_AY,10152.0,10152.0,1830.0,11982.0,11982.0,7561.0,14967.0,1600.0,3069.0,,True,True,90,,clean
101462,2023-24,IC2023_AY,3810.0,7620.0,1320.0,5130.0,8940.0,,9450.0,2000.0,,,True,True,70,,clean
101471,2023-24,IC2023_AY,5343.0,5343.0,741.0,6084.0,6084.0,,,663.0,,,True,True,60,,clean
101480,2023-24,IC2023_AY,10290.0,20580.0,2136.0,12426.0,22716.0,8894.0,10728.0,998.0,2506.0,,True,True,90,,clean
101505,2023-24,IC2023_AY,3810.0,7620.0,1230.0,5040.0,8850.0,,15921.0,1444.0,,,True,True,70,,clean
101514,2023-24,IC2023_AY,3810.0,7620.0,1250.0,5060.0,8870.0,,5500.0,3000.0,,,True,True,70,,clean
101569,2023-24,IC2023_AY,3810.0,7620.0,1170.0,4980.0,8790.0,4760.0,7560.0,2300.0,3000.0,,True,True,90,,clean
101587,2023-24,IC2023_AY,9100.0,18200.0,1890.0,10990.0,20090.0,8166.0,7200.0,1206.0,3600.0,,True,True,90,,clean
101602,2023-24,IC2023_AY,3810.0,7620.0,1170.0,4980.0,8790.0,5550.0,9450.0,1192.0,3625.0,,True,True,90,,clean
101648,2023-24,IC2023_AY,6000.0,12000.0,3538.0,9538.0,15538.0,4950.0,,1800.0,2455.0,,True,True,80,,clean
101675,2023-24,IC2023_AY,11164.0,11164.0,1550.0,12714.0,12714.0,7348.0,10845.0,250.0,2832.0,,True,True,90,,clean
101693,2023-24,IC2023_AY,24580.0,24580.0,1540.0,26120.0,26120.0,10676.0,9000.0,1800.0,4750.0,,True,True,90,,clean
101709,2023-24,IC2023_AY,12090.0,25110.0,1620.0,13710.0,26730.0,10768.0,10342.0,1020.0,3640.0,,True,True,90,,clean
101736,2023-24,IC2023_AY,3810.0,7620.0,1261.0,5071.0,8881.0,,9336.0,1600.0,,,True,True,70,,clean
101879,2023-24,IC2023_AY,10200.0,20400.0,1790.0,11990.0,22190.0,7900.0,7900.0,1500.0,3400.0,,True,True,90,,clean
101897,2023-24,IC2023_AY,3810.0,7620.0,1170.0,4980.0,8790.0,,9500.0,2400.0,,,True,True,70,,clean
101912,2023-24,IC2023_AY,20722.0,20722.0,1116.0,21838.0,21838.0,9384.0,12840.0,1200.0,8000.0,,True,True,90,,clean
101994,2023-24,IC2023_AY,4600.0,9200.0,1500.0,6100.0,10700.0,,6200.0,1400.0,,,True,True,70,,clean
102030,2023-24,IC2023_AY,3810.0,7620.0,1470.0,5280.0,9090.0,,10600.0,2000.0,,,True,True,70,,clean
102049,2023-24,IC2023_AY,37144.0,37144.0,1000.0,38144.0,38144.0,12160.0,20139.0,1200.0,5952.0,,True,True,90,,clean
102058,2023-24,IC2023_AY,4800.0,4800.0,0.0,4800.0,4800.0,3600.0,6000.0,800.0,2400.0,,True,False,90,,clean
102067,2023-24,IC2023_AY,3810.0,7620.0,1257.0,5067.0,8877.0,,12000.0,4500.0,,,True,True,70,,clean
102076,2023-24,IC2023_AY,3810.0,7620.0,1408.0,5218.0,9028.0,4700.0,8000.0,720.0,3024.0,,True,True,90,,clean
102094,2023-24,IC2023_AY,8976.0,17952.0,700.0,9676.0,18652.0,8830.0,11062.0,2020.0,5283.0,,True,True,90,,clean
102234,2023-24,IC2023_AY,22820.0,22820.0,450.0,23270.0,23270.0,12212.0,17118.0,1300.0,4574.0,,True,True,90,,clean
102270,2023-24,IC2023_AY,9548.0,9548.0,1844.0,11392.0,11392.0,9582.0,10812.0,1000.0,4704.0,,True,True,90,,clean
102298,2023-24,IC2023_AY,12130.0,12130.0,3520.0,15650.0,15650.0,6704.0,3200.0,1200.0,2100.0,,True,True,90,,clean
102313,2023-24,IC2023_AY,3810.0,7620.0,1080.0,4890.0,8700.0,,14652.0,3000.0,,,True,True,70,,clean
102368,2023-24,IC2023_AY,9792.0,19584.0,0.0,9792.0,19584.0,7996.0,10860.0,1366.0,5004.0,,True,False,90,,clean
102377,2023-24,IC2023_AY,19594.0,19594.0,3846.0,23440.0,23440.0,9844.0,10055.0,1812.0,8358.0,,True,True,90,,clean
102395,2023-24,IC2023_AY,18900.0,18900.0,0.0,18900.0,18900.0,,17160.0,990.0,,,True,False,70,,clean
102429,2023-24,IC2023_AY,3556.0,7112.0,1122.0,4678.0,8234.0,4650.0,10422.0,1466.0,5113.0,,True,True,90,,clean
102553,2023-24,IC2023_AY,6192.0,19776.0,1374.0,7566.0,21693.0,12412.0,15648.0,720.0,8882.0,,True,True,90,,clean
102580,2023-24,IC2023_AY,10200.0,10200.0,730.0,10930.0,10930.0,7000.0,12320.0,400.0,3801.0,,True,True,90,,clean
102614,2023-24,IC2023_AY,8041.0,23789.0,1975.0,10016.0,26404.0,10450.0,12750.0,2000.0,4250.0,,True,True,90,,clean
102632,2023-24,IC2023_AY,7224.0,23072.0,1596.0,8820.0,25312.0,12820.0,15200.0,1400.0,5948.0,,True,True,90,,clean
102669,2023-24,IC2023_AY,20350.0,20350.0,410.0,20760.0,20760.0,8932.0,18200.0,1200.0,5000.0,,True,True,90,,clean
