ipeds_id,name,address,city,state,zip_code,website,phone,president_name,president_title,control_type,size_category,region
100654,Alabama A & M University,4900 Meridian Street,Normal,AL,35762,www.aamu.edu/,2563725000,Dr. Daniel K. Wims,President,Public,Medium,Southeast
100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,35294-0110,https://www.uab.edu/,2059344011,Ray L. Watts,President,Public,Very large,Southeast
100690,Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,https://www.amridgeuniversity.edu/,3.34E+13,Michael C.Turner,President,Private nonprofit,Very small,Southeast
100706,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,www.uah.edu/,2568246120,Chuck Karr,President,Public,Medium,Southeast
100724,Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,www.alasu.edu/,3342294100,Quinton T. Ross,President,Public,Small,Southeast
100733,University of Alabama System Office,500 University Blvd. East,Tuscaloosa,AL,35401,www.uasystem.edu/,2053485122,Finis St. John IV,Chancellor,Public,Unknown,Southeast
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0100,www.ua.edu/,2053486010,Dr. Stuart R. Bell,President,Public,Very large,Southeast
100760,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,www.cacc.edu/,2562346346,Jeff Lynn,President,Public,Small,Southeast
100812,Athens State University,300 N Beaty St,Athens,AL,35611,https://www.athens.edu/,2562338100,Dr. Catherine Wehlburg,Interim President,Public,Small,Southeast
100830,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,www.aum.edu/,3342443000,Carl A. Stockton,Chancellor,Public,Medium,Southeast
100858,Auburn University,,Auburn,AL,36849,www.auburn.edu/,3348444000,Chris Roberts,President,Public,Very large,Southeast
100937,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,www.bsc.edu/,2052264600,Mr. Daniel Coleman,President,Private nonprofit,Very small,Southeast
101028,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,https://www.cv.edu/,3342914900,Jacqueline Screws,President,Public,Small,Southeast
101116,South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116,www.southuniversity.edu/,3343958800,Kenneth Macon,Campus Director & Dean of Academic Affairs & Ops,Private for-profit,Very small,Southeast
