UNITID,total_faculty,female_faculty_percent,male_faculty_percent,diversity_category,faculty_size_category,faculty_description,diversity_index,asian_faculty_percent,black_faculty_percent,hispanic_faculty_percent,white_faculty_percent
193900,56960,45.6,54.4,High,Very Large,"56,960+ faculty (extensive resources) | Gender-balanced faculty (45.6% female) | Highly diverse faculty",0.686,14.1,4.3,4.5,48.7
170976,49916,44.7,55.3,High,Very Large,"49,916+ faculty (extensive resources) | Gender-balanced faculty (44.7% female) | Highly diverse faculty | Strong 15.2% asian faculty representation",0.605,15.2,3.5,3.7,58.6
204796,34955,50.0,50.0,Moderate,Very Large,"34,955+ faculty (extensive resources) | Gender-balanced faculty (50.0% female) | Moderately diverse faculty | Strong 17.0% asian faculty representation",0.545,17.0,4.6,4.2,64.7
126562,34617,65.3,34.7,Moderate,Very Large,"34,617+ faculty (extensive resources) | Female-majority faculty (65.3%) | Moderately diverse faculty",0.534,7.7,1.2,5.5,65.1
110662,32768,46.6,53.4,High,Very Large,"32,768+ faculty (extensive resources) | Gender-balanced faculty (46.6% female) | Highly diverse faculty | Strong 28.0% asian faculty representation",0.669,28.0,3.7,7.0,49.1
236948,32389,51.3,48.7,High,Very Large,"32,389+ faculty (extensive resources) | Gender-balanced faculty (51.3% female) | Highly diverse faculty | Strong 18.0% asian faculty representation",0.6,18.0,3.1,5.2,59.7
215293,31444,48.5,51.5,Moderate,Very Large,"31,444+ faculty (extensive resources) | Gender-balanced faculty (48.5% female) | Moderately diverse faculty | Strong 16.5% asian faculty representation",0.523,16.5,3.5,3.9,66.6
198419,31172,46.8,53.2,Moderate,Very Large,"31,172+ faculty (extensive resources) | Gender-balanced faculty (46.8% female) | Moderately diverse faculty | Strong 16.5% asian faculty representation",0.496,16.5,5.9,4.2,68.6
190150,29217,48.2,51.8,Moderate,Very Large,"29,217+ faculty (extensive resources) | Gender-balanced faculty (48.2% female) | Moderately diverse faculty | Strong 19.1% asian faculty representation",0.598,19.1,5.1,5.9,59.7
214777,28821,44.3,55.7,Moderate,Very Large,"28,821+ faculty (extensive resources) | Gender-balanced faculty (44.3% female) | Moderately diverse faculty",0.533,13.8,3.5,3.8,66.3
433387,28800,73.2,26.8,Moderate,Very Large,"28,800+ faculty (extensive resources) | Female-majority faculty (73.2%) | Moderately diverse faculty | Strong 15.1% black faculty representation",0.498,2.7,15.1,5.0,68.8
110699,28179,54.5,45.5,High,Very Large,"28,179+ faculty (extensive resources) | Gender-balanced faculty (54.5% female) | Highly diverse faculty | Strong 29.2% asian faculty representation",0.638,29.2,4.2,6.5,51.9
240444,26132,45.3,54.7,Moderate,Very Large,"26,132+ faculty (extensive resources) | Gender-balanced faculty (45.3% female) | Moderately diverse faculty",0.506,11.2,2.4,3.6,68.7
164988,24951,53.3,46.7,Moderate,Very Large,"24,951+ faculty (extensive resources) | Gender-balanced faculty (53.3% female) | Moderately diverse faculty",0.55,12.8,5.0,5.4,65.0
186380,24070,49.6,50.4,High,Very Large,"24,070+ faculty (extensive resources) | Gender-balanced faculty (49.6% female) | Highly diverse faculty",0.72,14.6,3.9,4.1,43.5
223223,23633,56.9,43.1,High,Very Large,"23,633+ faculty (extensive resources) | Gender-balanced faculty (56.9% female) | Highly diverse faculty | Strong 26.4% asian faculty representation",0.726,26.4,6.9,7.4,41.4
151111,23160,47.6,52.4,Moderate,Very Large,"23,160+ faculty (extensive resources) | Gender-balanced faculty (47.6% female) | Moderately diverse faculty | Strong 16.2% asian faculty representation",0.471,16.2,4.7,3.3,70.6
162928,22362,46.0,54.0,Moderate,Very Large,"22,362+ faculty (extensive resources) | Gender-balanced faculty (46.0% female) | Moderately diverse faculty | Strong 19.6% asian faculty representation",0.578,19.6,5.5,4.5,61.3
193405,22349,47.6,52.4,High,Very Large,"22,349+ faculty (extensive resources) | Gender-balanced faculty (47.6% female) | Highly diverse faculty | Strong 23.2% asian faculty representation",0.718,23.2,3.6,4.8,43.1
110680,21202,46.3,53.7,Moderate,Very Large,"21,202+ faculty (extensive resources) | Gender-balanced faculty (46.3% female) | Moderately diverse faculty | Strong 23.3% asian faculty representation",0.585,23.3,2.2,8.3,59.3
174066,20354,44.7,55.3,Moderate,Very Large,"20,354+ faculty (extensive resources) | Gender-balanced faculty (44.7% female) | Moderately diverse faculty | Strong 15.0% asian faculty representation",0.529,15.0,3.4,3.4,66.5
104151,20337,49.9,50.1,High,Very Large,"20,337+ faculty (extensive resources) | Gender-balanced faculty (49.9% female) | Highly diverse faculty",0.61,10.0,2.7,8.3,59.6
144050,19875,43.0,57.0,High,Very Large,"19,875+ faculty (extensive resources) | Gender-balanced faculty (43.0% female) | Highly diverse faculty | Strong 17.7% asian faculty representation",0.629,17.7,4.3,3.8,56.9
228723,19381,39.5,60.5,Moderate,Very Large,"19,381+ faculty (extensive resources) | Male-majority faculty (60.5%) | Moderately diverse faculty | Strong 15.5% asian faculty representation",0.597,15.5,3.5,7.2,60.4
195030,18844,43.9,56.1,Moderate,Very Large,"18,844+ faculty (extensive resources) | Gender-balanced faculty (43.9% female) | Moderately diverse faculty | Strong 15.2% asian faculty representation",0.441,15.2,3.1,2.8,72.9
110644,18477,49.0,51.0,High,Very Large,"18,477+ faculty (extensive resources) | Gender-balanced faculty (49.0% female) | Highly diverse faculty | Strong 22.5% asian faculty representation",0.618,22.5,2.6,7.5,56.6
155317,18205,43.6,56.4,Moderate,Very Large,"18,205+ faculty (extensive resources) | Gender-balanced faculty (43.6% female) | Moderately diverse faculty",0.48,13.1,2.9,3.4,70.5
199847,18151,44.0,56.0,Moderate,Very Large,"18,151+ faculty (extensive resources) | Gender-balanced faculty (44.0% female) | Moderately diverse faculty",0.485,12.5,5.6,3.6,70.2
243744,17521,38.8,61.2,High,Very Large,"17,521+ faculty (extensive resources) | Male-majority faculty (61.2%) | Highly diverse faculty | Strong 21.5% asian faculty representation",0.642,21.5,3.0,5.2,54.4
134130,17432,42.9,57.1,Moderate,Very Large,"17,432+ faculty (extensive resources) | Gender-balanced faculty (42.9% female) | Moderately diverse faculty",0.523,13.0,4.6,7.9,67.1
171100,17378,46.8,53.2,Moderate,Very Large,"17,378+ faculty (extensive resources) | Gender-balanced faculty (46.8% female) | Moderately diverse faculty",0.495,14.9,5.2,4.9,68.9
201885,16977,47.1,52.9,Moderate,Very Large,"16,977+ faculty (extensive resources) | Gender-balanced faculty (47.1% female) | Moderately diverse faculty",0.48,14.2,5.0,3.7,70.3
153658,16932,45.3,54.7,Moderate,Very Large,"16,932+ faculty (extensive resources) | Gender-balanced faculty (45.3% female) | Moderately diverse faculty",0.498,12.1,2.5,4.4,69.2
228778,16830,45.4,54.6,Moderate,Very Large,"16,830+ faculty (extensive resources) | Gender-balanced faculty (45.4% female) | Moderately diverse faculty",0.536,11.6,4.6,10.7,65.8
234076,16740,45.0,55.0,Moderate,Very Large,"16,740+ faculty (extensive resources) | Gender-balanced faculty (45.0% female) | Moderately diverse faculty",0.462,12.4,5.1,3.2,71.9
147767,16470,46.8,53.2,Moderate,Very Large,"16,470+ faculty (extensive resources) | Gender-balanced faculty (46.8% female) | Moderately diverse faculty",0.56,14.8,5.6,6.2,63.8
100663,16332,47.2,52.8,Moderate,Very Large,"16,332+ faculty (extensive resources) | Gender-balanced faculty (47.2% female) | Moderately diverse faculty | Strong 15.8% asian faculty representation",0.514,15.8,6.6,3.6,67.3
130794,16299,43.8,56.2,High,Very Large,"16,299+ faculty (extensive resources) | Gender-balanced faculty (43.8% female) | Highly diverse faculty | Strong 15.7% asian faculty representation",0.607,15.7,5.5,5.5,59.3
216339,16127,48.4,51.6,Moderate,Very Large,"16,127+ faculty (extensive resources) | Gender-balanced faculty (48.4% female) | Moderately diverse faculty",0.567,14.9,6.1,4.7,63.2
123961,14814,42.9,57.1,Moderate,Very Large,"14,814+ faculty (extensive resources) | Gender-balanced faculty (42.9% female) | Moderately diverse faculty",0.6,14.9,5.2,7.0,60.4
110653,14740,44.7,55.3,High,Very Large,"14,740+ faculty (extensive resources) | Gender-balanced faculty (44.7% female) | Highly diverse faculty | Strong 28.6% asian faculty representation",0.64,28.6,3.4,7.2,51.9
145600,14732,52.0,48.0,High,Very Large,"14,732+ faculty (extensive resources) | Gender-balanced faculty (52.0% female) | Highly diverse faculty | Strong 19.7% asian faculty representation",0.614,19.7,6.6,8.0,57.8
145637,14268,44.0,56.0,Moderate,Very Large,"14,268+ faculty (extensive resources) | Gender-balanced faculty (44.0% female) | Moderately diverse faculty | Strong 15.4% asian faculty representation",0.561,15.4,4.9,7.4,63.5
196097,13781,50.0,50.0,Moderate,Very Large,"13,781+ faculty (extensive resources) | Gender-balanced faculty (50.0% female) | Moderately diverse faculty | Strong 20.8% asian faculty representation",0.592,20.8,4.3,4.6,59.6
190424,13774,48.8,51.2,Moderate,Very Large,"13,774+ faculty (extensive resources) | Gender-balanced faculty (48.8% female) | Moderately diverse faculty | Strong 28.7% asian faculty representation",0.586,28.7,5.5,6.1,57.0
228635,13680,45.9,54.1,High,Very Large,"13,680+ faculty (extensive resources) | Gender-balanced faculty (45.9% female) | Highly diverse faculty | Strong 27.6% asian faculty representation",0.713,27.6,4.2,7.1,43.0
230764,13582,44.5,55.5,Moderate,Very Large,"13,582+ faculty (extensive resources) | Gender-balanced faculty (44.5% female) | Moderately diverse faculty",0.475,10.8,1.2,5.0,71.1
137351,13375,51.7,48.3,Moderate,Very Large,"13,375+ faculty (extensive resources) | Gender-balanced faculty (51.7% female) | Moderately diverse faculty",0.575,13.3,5.7,9.8,62.5
209490,13347,57.4,42.6,Moderate,Very Large,"13,347+ faculty (extensive resources) | Gender-balanced faculty (57.4% female) | Moderately diverse faculty",0.514,14.2,2.0,4.2,67.6
229300,13319,48.9,51.1,High,Very Large,"13,319+ faculty (extensive resources) | Gender-balanced faculty (48.9% female) | Highly diverse faculty | Strong 32.0% asian faculty representation",0.718,32.0,6.5,10.8,39.8
151351,13276,45.4,54.6,Moderate,Very Large,"13,276+ faculty (extensive resources) | Gender-balanced faculty (45.4% female) | Moderately diverse faculty",0.443,8.9,4.3,6.2,73.5
234030,13241,46.7,53.3,Moderate,Very Large,"13,241+ faculty (extensive resources) | Gender-balanced faculty (46.7% female) | Moderately diverse faculty | Strong 16.1% asian faculty representation",0.527,16.1,7.5,4.0,66.2
104179,13147,45.5,54.5,Moderate,Very Large,"13,147+ faculty (extensive resources) | Gender-balanced faculty (45.5% female) | Moderately diverse faculty",0.563,10.2,2.4,10.4,64.0
129020,13080,48.0,52.0,Moderate,Very Large,"13,080+ faculty (extensive resources) | Gender-balanced faculty (48.0% female) | Moderately diverse faculty | Strong 17.4% asian faculty representation",0.589,17.4,3.2,5.6,60.8
215062,12794,43.1,56.9,Moderate,Very Large,"12,794+ faculty (extensive resources) | Gender-balanced faculty (43.1% female) | Moderately diverse faculty | Strong 17.4% asian faculty representation",0.531,17.4,4.7,5.7,65.7
139959,12569,44.5,55.5,Moderate,Very Large,"12,569+ faculty (extensive resources) | Gender-balanced faculty (44.5% female) | Moderately diverse faculty",0.538,10.1,5.0,3.1,66.1
233921,12497,39.6,60.4,Moderate,Very Large,"12,497+ faculty (extensive resources) | Male-majority faculty (60.4%) | Moderately diverse faculty",0.482,13.0,3.6,4.8,70.2
178396,12458,45.9,54.1,Moderate,Very Large,"12,458+ faculty (extensive resources) | Gender-balanced faculty (45.9% female) | Moderately diverse faculty",0.517,12.5,3.8,4.1,67.7
166027,12451,38.4,61.6,Moderate,Very Large,"12,451+ faculty (extensive resources) | Male-majority faculty (61.6%) | Moderately diverse faculty",0.519,12.7,5.0,4.7,67.3
