ipeds_id,academic_year,data_source,tuition_in_state,tuition_out_state,required_fees,tuition_fees_in_state,tuition_fees_out_state,room_board_on_campus,room_board_off_campus,books_supplies,personal_expenses,transportation,has_tuition_data,has_fees_data,data_completeness_score,validation_issues,validation_status
100654,2023-24,IC2023_AY,10024,10024,2192,12216,12216,11402,3864,11402,3864,4271,TRUE,TRUE,100,,clean
100663,2023-24,IC2023_AY,8832,8832,1200,10032,10032,13590,5757,14580,6007,6007,TRUE,TRUE,100,,clean
100690,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
100706,2023-24,IC2023_AY,11770,11770,2416,14186,14186,11122,4462,11122,4462,4462,TRUE,TRUE,100,,clean
100724,2023-24,IC2023_AY,11248,11248,1600,12848,12848,7690,3392,7320,5130,5130,TRUE,TRUE,100,,clean
100751,2023-24,IC2023_AY,11900,11900,800,12700,12700,14840,5842,14564,6598,7179,TRUE,TRUE,100,,clean
100760,2023-24,IC2023_AY,5040,5040,1020,6060,6060,,,15628,7973,7973,TRUE,TRUE,80,,clean
100812,2023-24,IC2023_AY,,,,,,,,,,,FALSE,FALSE,0,,clean
100830,2023-24,IC2023_AY,9436,9436,1500,10936,10936,7368,4478,12762,4478,4478,TRUE,TRUE,100,,clean
100858,2023-24,IC2023_AY,12536,12536,1200,13736,13736,15396,6166,14736,6166,6166,TRUE,TRUE,100,,clean
100937,2023-24,IC2023_AY,22750,22750,1062,23812,23812,14300,2268,6500,3416,3416,TRUE,TRUE,100,,clean
101028,2023-24,IC2023_AY,5040,5040,1008,6048,6048,,,11200,6552,6552,TRUE,TRUE,80,,clean
101116,2023-24,IC2023_AY,18238,18238,1500,19738,19738,,,8925,7914,5541,TRUE,TRUE,80,,clean
101143,2023-24,IC2023_AY,5040,5040,1500,6540,6540,,,14400,5696,5696,TRUE,TRUE,80,,clean
101161,2023-24,IC2023_AY,4980,4980,2750,7730,7730,10850,7350,8025,7350,7350,TRUE,TRUE,100,,clean
101189,2023-24,IC2023_AY,23920,23920,1800,25720,25720,8020,4600,8020,4600,4600,TRUE,TRUE,100,,clean
101240,2023-24,IC2023_AY,4032,4032,1600,5632,5632,5200,2324,4500,2916,2916,TRUE,TRUE,100,,clean
