ipeds_id,student_faculty_ratio,size_category,locale
103501,15.00,255.0,Urban Center
102669,8.00,578.0,Urban Center
102845,25.00,2277.0,Urban Center
102553,12.00,10796.0,Urban Center
434584,7.00,311.0,Countryside
240666,15.00,3298.0,Remote
102614,12.00,6640.0,Town
103529,8.00,NaN,Town
102632,9.00,1918.0,Forest Area
102580,5.00,65.0,Residential Area
102711,12.00,452.0,Countryside
442523,5.00,64.0,Forest Area
100858,21.00,33015.0,Town
102049,14.00,5791.0,Metropolitan Suburb
100663,18.00,21160.0,City
101879,18.00,10059.0,Town
100706,17.00,8743.0,City
101480,19.00,9672.0,Residential Area
101587,17.00,6194.0,Countryside
102094,18.00,13768.0,City
100830,15.00,5189.0,City
100654,19.00,6614.0,City
102368,15.00,13923.0,Remote
100751,19.00,39622.0,City
107071,17.00,2136.0,Village
106704,14.00,9790.0,Town
106397,20.00,32140.0,Town
108092,20.00,5506.0,Town
106458,15.00,14032.0,Town
106245,11.00,8158.0,City
107983,16.00,5127.0,Remote
107585,21.00,2225.0,Village
106412,13.00,2100.0,Village
106467,18.00,9487.0,Remote
107044,16.00,4608.0,Village
107141,16.00,2341.0,Village
105330,19.00,28186.0,Town
105899,18.00,1233.0,Metropolitan Suburb
495457,20.00,1062.0,Urban Center
104717,21.00,107563.0,Urban Center
104586,17.00,3286.0,Town
105589,9.00,909.0,Town
483124,25.00,66062.0,City
464226,12.00,836.0,Metropolitan Suburb
421708,20.00,1246.0,City
104151,18.00,79593.0,City
363934,14.00,960.0,City
104179,19.00,53001.0,Urban Center
110635,18.00,45699.0,City
110644,21.00,39707.0,Residential Area
110565,22.00,41962.0,Metropolitan Suburb
110653,18.00,36582.0,Urban Center
110680,19.00,42376.0,Urban Center
110583,19.00,40278.0,Urban Center
240596,17.00,1418.0,Remote
110662,18.00,46678.0,Urban Center
123961,9.00,47147.0,Urban Center
110608,21.00,37760.0,Urban Center
110617,21.00,31172.0,Urban Center
122409,22.00,39241.0,Urban Center
122755,18.00,36062.0,Urban Center
476975,25.00,9507.0,Urban Center
126614,19.00,41432.0,City
126580,15.00,11213.0,Urban Center
127565,14.00,17593.0,Urban Center
127918,9.00,4631.0,Urban Center
126562,16.00,23409.0,Urban Center
127060,10.00,13387.0,Urban Center
126818,17.00,33500.0,City
126775,17.00,7599.0,Metropolitan Suburb
127556,18.00,8995.0,Town
127741,14.00,9067.0,City
128106,16.00,6691.0,City
128744,16.00,4103.0,City
130776,11.00,4137.0,Town
129242,12.00,6289.0,Metropolitan Suburb
130253,16.00,11179.0,Metropolitan Suburb
130226,11.00,8918.0,Metropolitan Suburb
128771,14.00,9712.0,Metropolitan Suburb
130493,11.00,8820.0,City
130794,6.00,15081.0,City
129020,16.00,27364.0,Campus Town
129525,11.00,5913.0,City
129941,18.00,9830.0,Metropolitan Suburb
129215,15.00,3979.0,Campus Town
131159,10.00,13019.0,Urban Center
131450,6.00,1364.0,Urban Center
131469,12.00,25568.0,Urban Center
131496,11.00,20392.0,Urban Center
131520,11.00,13416.0,Urban Center
131830,5.00,25.0,Urban Center
496803,4.00,34.0,Urban Center
486424,15.00,123.0,Urban Center
459994,39.00,12782.0,Urban Center
131283,11.00,5171.0,Urban Center
131876,9.00,1865.0,Urban Center
131399,6.00,3855.0,Urban Center
130934,18.00,5828.0,Town
130907,13.00,13231.0,Town
130837,6.00,43.0,Village
131113,12.00,14678.0,Metropolitan Suburb
130873,18.00,385.0,Metropolitan Suburb
459301,12.00,130.0,Metropolitan Suburb
131061,14.00,166.0,Metropolitan Suburb
130943,15.00,24221.0,Metropolitan Suburb
432524,10.00,104.0,Town
130989,18.00,1074.0,Metropolitan Suburb
450298,39.00,269.0,Town
491473,5.00,631.0,Suburban
133669,23.00,30790.0,Town
135726,11.00,19593.0,Metropolitan Suburb
135081,14.00,20102.0,City
136215,17.00,20877.0,Metropolitan Suburb
433660,21.00,16167.0,Metropolitan Suburb
134130,16.00,54814.0,City
136172,19.00,16453.0,Urban Center
133951,24.00,53953.0,Metropolitan Suburb
132903,29.00,69233.0,Metropolitan Suburb
138354,22.00,14371.0,Forest Area
134097,17.00,43234.0,City
137351,22.00,48572.0,Urban Center
139959,17.00,41615.0,City
139658,9.00,15046.0,Urban Center
139755,18.00,47946.0,Urban Center
139940,25.00,34974.0,Urban Center
244437,19.00,15522.0,Urban Center
141334,16.00,12728.0,Village
482680,18.00,18074.0,Village
486840,23.00,45069.0,Metropolitan Suburb
447689,20.00,11907.0,Metropolitan Suburb
140951,20.00,17575.0,City
139931,24.00,26041.0,Village
141264,17.00,10151.0,Town
383190,14.00,2260.0,Remote
141565,12.00,2781.0,Remote
141486,11.00,2602.0,Urban Center
141644,15.00,4748.0,Urban Center
141680,18.00,3204.0,Urban Center
141796,15.00,5822.0,Urban Center
141574,14.00,19256.0,Urban Center
141839,14.00,2647.0,Town
141990,21.00,2743.0,Suburban
141981,16.00,2863.0,Metropolitan Suburb
230047,16.00,2836.0,Campus Town
141811,21.00,6059.0,Metropolitan Suburb
153603,18.00,30177.0,Town
154095,17.00,9013.0,Town
154235,11.00,2703.0,City
153269,10.00,4504.0,City
153375,12.00,1796.0,City
153278,11.00,1795.0,Town
153861,13.00,2666.0,Remote
154493,22.00,3102.0,Countryside
153658,15.00,30042.0,Town
153250,14.00,1929.0,Remote
154004,12.00,2158.0,Town
153001,13.00,1951.0,Remote
142090,12.00,103.0,Metropolitan Suburb
142115,19.00,26670.0,City
142294,10.00,1076.0,Suburban
142443,13.00,3979.0,Town
142328,16.00,3706.0,Town
440396,15.00,351.0,Village
142285,17.00,11849.0,Village
455114,19.00,10326.0,Forest Area
142461,14.00,1774.0,Suburban
142276,13.00,12614.0,Town
142522,20.00,42996.0,Village
142559,27.00,8775.0,Town
454227,20.00,28897.0,Metropolitan Suburb
149222,11.00,11359.0,Village
145637,20.00,56563.0,Town
144740,17.00,21348.0,Urban Center
146719,13.00,17397.0,Urban Center
144050,5.00,18339.0,Urban Center
145600,17.00,33522.0,Urban Center
147703,14.00,15504.0,Residential Area
149231,15.00,12045.0,Metropolitan Suburb
147767,6.00,23203.0,Town
